Time;f60_US_TX01;QI_US_TX01
2019-05-15 04:35:36;3.83139;0
2019-05-15 04:35:37;2.67846;0
2019-05-15 04:35:38;4.92606;0
2019-05-15 04:35:39;7.17084;0
2019-05-15 04:35:40;8.67641;0
2019-05-15 04:35:41;11.5809;0
2019-05-15 04:35:42;14.9889;0
2019-05-15 04:35:43;17.3385;0
2019-05-15 04:35:44;20.0299;0
2019-05-15 04:35:45;21.4015;0
2019-05-15 04:35:46;20.8053;0
2019-05-15 04:35:47;18.1326;0
2019-05-15 04:35:48;15.4915;0
2019-05-15 04:35:49;14.1146;0
2019-05-15 04:35:50;12.8428;0
2019-05-15 04:35:51;10.9402;0
2019-05-15 04:35:52;9.28611;0
2019-05-15 04:35:53;10.3256;0
2019-05-15 04:35:54;13.3655;0
2019-05-15 04:35:55;17.2891;0
2019-05-15 04:35:56;20.1848;0
2019-05-15 04:35:57;19.2821;0
2019-05-15 04:35:58;16.4099;0
2019-05-15 04:35:59;14.6059;0
2019-05-15 04:36:00;13.883;0
2019-05-15 04:36:01;12.937;0
2019-05-15 04:36:02;11.6018;0
2019-05-15 04:36:03;12.5223;0
2019-05-15 04:36:04;15.1089;0
2019-05-15 04:36:05;16.6996;0
2019-05-15 04:36:06;16.3827;0
2019-05-15 04:36:07;14.2756;0
2019-05-15 04:36:08;12.5271;0
2019-05-15 04:36:09;12.2954;0
2019-05-15 04:36:10;12.0099;0
2019-05-15 04:36:11;12.0252;0
2019-05-15 04:36:12;11.8426;0
2019-05-15 04:36:13;12.1261;0
2019-05-15 04:36:14;11.3684;0
2019-05-15 04:36:15;10.6146;0
2019-05-15 04:36:16;9.84782;0
2019-05-15 04:36:17;10.0335;0
2019-05-15 04:36:18;12.3824;0
2019-05-15 04:36:19;19.0093;0
2019-05-15 04:36:20;23.324;0
2019-05-15 04:36:21;25.653;0
2019-05-15 04:36:22;25.6829;0
2019-05-15 04:36:23;25.2347;0
2019-05-15 04:36:24;23.334;0
2019-05-15 04:36:25;21.9534;0
2019-05-15 04:36:26;21.447;0
2019-05-15 04:36:27;21.5883;0
2019-05-15 04:36:28;21.4308;0
2019-05-15 04:36:29;21.1324;0
2019-05-15 04:36:30;21.0443;0
2019-05-15 04:36:31;21.7096;0
2019-05-15 04:36:32;21.9715;0
2019-05-15 04:36:33;22.0613;0
2019-05-15 04:36:34;21.4501;0
2019-05-15 04:36:35;21.3309;0
2019-05-15 04:36:36;21.4212;0
2019-05-15 04:36:37;20.9812;0
2019-05-15 04:36:38;20.2642;0
2019-05-15 04:36:39;19.6204;0
2019-05-15 04:36:40;18.5835;0
2019-05-15 04:36:41;18.2397;0
2019-05-15 04:36:42;18.2502;0
2019-05-15 04:36:43;18.7239;0
2019-05-15 04:36:44;18.9419;0
2019-05-15 04:36:45;18.392;0
2019-05-15 04:36:46;17.3632;0
2019-05-15 04:36:47;17.4895;0
2019-05-15 04:36:48;18.0238;0
2019-05-15 04:36:49;17.912;0
2019-05-15 04:36:50;17.2844;0
2019-05-15 04:36:51;17.1451;0
2019-05-15 04:36:52;17.868;0
2019-05-15 04:36:53;17.61;0
2019-05-15 04:36:54;17.038;0
2019-05-15 04:36:55;17.0216;0
2019-05-15 04:36:56;17.3443;0
2019-05-15 04:36:57;18.6687;0
2019-05-15 04:36:58;19.5727;0
2019-05-15 04:36:59;18.6326;0
2019-05-15 04:37:00;16.3276;0
2019-05-15 04:37:01;13.8811;0
2019-05-15 04:37:02;11.8778;0
2019-05-15 04:37:03;11.9188;0
2019-05-15 04:37:04;12.9308;0
2019-05-15 04:37:05;14.5603;0
2019-05-15 04:37:06;16.247;0
2019-05-15 04:37:07;17.9176;0
2019-05-15 04:37:08;19.3571;0
2019-05-15 04:37:09;18.8281;0
2019-05-15 04:37:10;17.489;0
2019-05-15 04:37:11;16.0701;0
2019-05-15 04:37:12;15.1005;0
2019-05-15 04:37:13;13.4193;0
2019-05-15 04:37:14;12.0712;0
2019-05-15 04:37:15;10.3295;0
2019-05-15 04:37:16;8.74993;0
2019-05-15 04:37:17;7.81239;0
2019-05-15 04:37:18;7.14459;0
2019-05-15 04:37:19;7.0144;0
2019-05-15 04:37:20;6.22351;0
2019-05-15 04:37:21;5.49143;0
2019-05-15 04:37:22;5.75795;0
2019-05-15 04:37:23;5.87643;0
2019-05-15 04:37:24;7.17294;0
2019-05-15 04:37:25;8.49844;0
2019-05-15 04:37:26;10.2186;0
2019-05-15 04:37:27;11.9378;0
2019-05-15 04:37:28;12.2456;0
2019-05-15 04:37:29;12.1039;0
2019-05-15 04:37:30;12.303;0
2019-05-15 04:37:31;12.4352;0
2019-05-15 04:37:32;12.3048;0
2019-05-15 04:37:33;12.4416;0
2019-05-15 04:37:34;12.9362;0
2019-05-15 04:37:35;13.416;0
2019-05-15 04:37:36;13.8149;0
2019-05-15 04:37:37;13.8102;0
2019-05-15 04:37:38;12.8022;0
2019-05-15 04:37:39;12.2159;0
2019-05-15 04:37:40;12.087;0
2019-05-15 04:37:41;12.7647;0
2019-05-15 04:37:42;13.4386;0
2019-05-15 04:37:43;14.5125;0
2019-05-15 04:37:44;15.7847;0
2019-05-15 04:37:45;15.9993;0
2019-05-15 04:37:46;13.7473;0
2019-05-15 04:37:47;11.76;0
2019-05-15 04:37:48;10.6701;0
2019-05-15 04:37:49;9.64379;0
2019-05-15 04:37:50;7.73094;0
2019-05-15 04:37:51;6.65052;0
2019-05-15 04:37:52;5.96332;0
2019-05-15 04:37:53;6.17126;0
2019-05-15 04:37:54;6.68019;0
2019-05-15 04:37:55;7.41429;0
2019-05-15 04:37:56;8.45378;0
2019-05-15 04:37:57;10.2208;0
2019-05-15 04:37:58;11.4962;0
2019-05-15 04:37:59;13.5243;0
2019-05-15 04:38:00;16.2496;0
2019-05-15 04:38:01;17.2126;0
2019-05-15 04:38:02;16.7615;0
2019-05-15 04:38:03;15.5092;0
2019-05-15 04:38:04;14.9349;0
2019-05-15 04:38:05;14.8864;0
2019-05-15 04:38:06;15.2064;0
2019-05-15 04:38:07;14.5871;0
2019-05-15 04:38:08;14.1203;0
2019-05-15 04:38:09;15.5396;0
2019-05-15 04:38:10;17.4536;0
2019-05-15 04:38:11;18.337;0
2019-05-15 04:38:12;17.8542;0
2019-05-15 04:38:13;17.4253;0
2019-05-15 04:38:14;17.1065;0
2019-05-15 04:38:15;16.1402;0
2019-05-15 04:38:16;15.6157;0
2019-05-15 04:38:17;15.7025;0
2019-05-15 04:38:18;17.8833;0
2019-05-15 04:38:19;21.5846;0
2019-05-15 04:38:20;24.5272;0
2019-05-15 04:38:21;25.9226;0
2019-05-15 04:38:22;25.0588;0
2019-05-15 04:38:23;23.3567;0
2019-05-15 04:38:24;20.6962;0
2019-05-15 04:38:25;17.8071;0
2019-05-15 04:38:26;15.6734;0
2019-05-15 04:38:27;14.6627;0
2019-05-15 04:38:28;13.9692;0
2019-05-15 04:38:29;13.4888;0
2019-05-15 04:38:30;12.9434;0
2019-05-15 04:38:31;12.2658;0
2019-05-15 04:38:32;12.1542;0
2019-05-15 04:38:33;11.7398;0
2019-05-15 04:38:34;10.7543;0
2019-05-15 04:38:35;12.3608;0
2019-05-15 04:38:36;15.1966;0
2019-05-15 04:38:37;16.9401;0
2019-05-15 04:38:38;16.8935;0
